,stories_id,publish_date,title,url,article,topic 1,topic 2,topic 3
0,1244390974,08/07/2013 00:31,alcoa posts $119m 2q loss on restructuring costs,http://rssfeeds.usatoday.com/~r/UsatodaycomMoney-TopStories/~3/rpk4hVbydhE/,"NEW YORK (AP) — Alcoa says its second-quarter loss widened due to weak aluminum prices, although the results are better than expected after backing out restructuring and legal costs.The company continues to see strong sales of aluminum products used in automobiles and airplanes.Alcoa said Monday that it lost $119 million, or 11 cents per share, in the April-through-June quarter. That compares with a loss of $2 million, or break-even on a per-share basis, a year ago.Excluding special items such as restructuring expenses, Alcoa says it would have earned 7 cents per share, a penny more than analysts expected, according to FactSet.",,,
5,,,,,,"(1, '0.035*""aluminum"" + 0.035*""strong"" + 0.035*""airplanes"" + 0.035*""continues"" + 0.035*""products"" + 0.035*""see"" + 0.035*""sales"" + 0.035*""automobiles"" + 0.035*""used"" + 0.034*""company""')","(1, '0.035*""aluminum"" + 0.035*""strong"" + 0.035*""airplanes"" + 0.035*""continues"" + 0.035*""products"" + 0.035*""see"" + 0.035*""sales"" + 0.035*""automobiles"" + 0.035*""used"" + 0.034*""company""')","(1, '0.035*""aluminum"" + 0.035*""strong"" + 0.035*""airplanes"" + 0.035*""continues"" + 0.035*""products"" + 0.035*""see"" + 0.035*""sales"" + 0.035*""automobiles"" + 0.035*""used"" + 0.034*""company""')"
